Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  7.45     52.29    52.29                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4235 @ 8056cf5)
-----------------------------------------------
                0.00    0.00 1079886/1079886     double std::__pow_helper<double>(double, int) (cmath:477 @ 805a779) [766]
[1122]   0.0    0.00    0.00 1079886         double std::__cmath_power<double>(double, unsigned int) (cmath.tcc:40 @ 805a7b6) [1122]
-----------------------------------------------
                0.00    0.00  450000/450000      ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2033 @ 804f95e) [2022]
[1123]   0.0    0.00    0.00  450000         EdgeClass::computeAngleForceEnergy(PolygonClass*) (subroutines.cc:1139 @ 804c5a2) [1123]
-----------------------------------------------
                0.00    0.00  360000/360000      ManipClass::assignPolygonsToBoxes(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4058 @ 8056617) [682]
[1124]   0.0    0.00    0.00  360000         PolygonClass::recordBoxes(int*, int) (subroutines.cc:816 @ 804b5ec) [1124]
-----------------------------------------------
                0.00    0.00       2/149794      ObjectClass::findAdjacentPolygonsAndVertices(PolygonClass*, int, int*) (subroutines.cc:1433 @ 804d83e) [2055]
                0.00    0.00       2/149794      ObjectClass::findAdjacentPolygonsAndVertices(PolygonClass*, int, int*) (subroutines.cc:1436 @ 804d8b6) [2056]
                0.00    0.00       2/149794      ObjectClass::findAdjacentPolygonsAndVertices(PolygonClass*, int, int*) (subroutines.cc:1439 @ 804d92e) [2057]
                0.00    0.00  149788/149794      ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3666 @ 80555aa) [679]
[1125]   0.0    0.00    0.00  149794         uniqueArray(int*, int&, int) (subroutines.cc:569 @ 804ac9a) [1125]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3469 @ 805498e) [1638]
[1126]   0.0    0.00    0.00  149788         ManipClass::findOddMeshes(PolygonClass*, int*, int, int*, int&, bool) (subroutines.cc:3761 @ 80559ea) [1126]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3459 @ 80548a0) [1637]
[1127]   0.0    0.00    0.00  149788         ManipClass::findClosestAxis(double*, double*) (subroutines.cc:3501 @ 8054a6c) [1127]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3459 @ 80548a0) [1637]
[1128]   0.0    0.00    0.00  149788         ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3541 @ 8054ba0) [1128]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3463 @ 80548fe) [441]
[1129]   0.0    0.00    0.00  149788         ManipClass::findIntersectedPolygons(ContainerClass&, PolygonClass*, SpaceClass&, int, int, double*, int*&, int&, int*&, int&, int&, int*&, int&, int&, bool) (subroutines.cc:3681 @ 80555ee) [1129]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3453 @ 805484d) [580]
[1130]   0.0    0.00    0.00  149788         VertexClass::computeMeanOutwardNormal(PolygonClass*, double*) (subroutines.cc:852 @ 804b748) [1130]
-----------------------------------------------
                0.00    0.00  149788/149788      ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3474 @ 80549d3) [704]
[1131]   0.0    0.00    0.00  149788         VertexClass::setOdd(int) (subroutines.cc:992 @ 804bd02) [1131]
-----------------------------------------------
                0.00    0.00   30006/120024      ObjectClass::initializeNewCoordinatesAndDevDist() (subroutines.cc:1313 @ 804d094) [2068]
                0.00    0.00   90018/120024      ObjectClass::findNeighborhoodVertices() (subroutines.cc:1570 @ 804ddcc) [828]
[1132]   0.0    0.00    0.00  120024         computeHashValue(int) (subroutines.cc:72 @ 8049844) [1132]
-----------------------------------------------
                0.00    0.00  120024/120024      computeHashValue(int) (subroutines.cc:78 @ 8049869) [1272]
[1133]   0.0    0.00    0.00  120024         hash(unsigned char*, unsigned long, unsigned long) (subroutines.cc:27 @ 8049554) [1133]
-----------------------------------------------
                0.00    0.00   90000/90000       ObjectClass::initEdgeAngles(PolygonClass*) (subroutines.cc:2006 @ 804f73e) [1920]
[1134]   0.0    0.00    0.00   90000         EdgeClass::initAngles(PolygonClass*) (subroutines.cc:1108 @ 804c460) [1134]
-----------------------------------------------
                0.00    0.00   60000/60000       main (mesh_manip.cc:439 @ 805a312) [642]
[1135]   0.0    0.00    0.00   60000         PolygonClass::~PolygonClass() (subroutines.cc:841 @ 804b70c) [1135]
-----------------------------------------------
                0.00    0.00   30006/30006       ScanClass::scanFile(ContainerClass&, PolygonClass*, char*, bool, int) (subroutines.cc:2547 @ 80512d5) [529]
[1136]   0.0    0.00    0.00   30006         ObjectClass::addOriginalVertexCoordinates(int, double*) (subroutines.cc:1278 @ 804cdcc) [1136]
-----------------------------------------------
                0.00    0.00   30006/30006       ObjectClass::OutitVertices() (subroutines.cc:1254 @ 804ccda) [1916]
[1137]   0.0    0.00    0.00   30006         VertexClass::fileOutit() (subroutines.cc:1083 @ 804c280) [1137]
-----------------------------------------------
                0.00    0.00   30006/30006       ObjectClass::~ObjectClass() (subroutines.cc:2045 @ 804fa66) [2094]
[1138]   0.0    0.00    0.00   30006         VertexClass::~VertexClass() (subroutines.cc:1092 @ 804c37c) [1138]
-----------------------------------------------
                0.00    0.00     905/905         ManipClass::computeNewVertexCoords(ContainerClass&, double) (subroutines.cc:4623 @ 80582e8) [1489]
[1139]   0.0    0.00    0.00     905         VertexClass::computeNewCoords(double) (subroutines.cc:1011 @ 804bd32) [1139]
-----------------------------------------------
                0.00    0.00     905/905         ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4583 @ 80580b1) [1564]
[1140]   0.0    0.00    0.00     905         VertexClass::computeEnergyForce(double*, double*, double*, int*, int, EdgeClass*) (subroutines.cc:896 @ 804b868) [1140]
-----------------------------------------------
                0.00    0.00     166/332         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:519 @ 805a73f) [2522]
                0.00    0.00     166/332         std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) (ios_base.h:75 @ 805a85b) [2537]
[1141]   0.0    0.00    0.00     332         std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:59 @ 805a816) [1141]
-----------------------------------------------
                0.00    0.00     166/166         std::left(std::ios_base&) (ios_base.h:801 @ 805a543) [2534]
[1142]   0.0    0.00    0.00     166         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:516 @ 805a70e) [1142]
-----------------------------------------------
                0.00    0.00       1/166         ContainerClass::fileInit() (subroutines.cc:2231 @ 805004b) [2338]
                0.00    0.00       1/166         ContainerClass::fileInit() (subroutines.cc:2233 @ 805008e) [2340]
                0.00    0.00       1/166         ContainerClass::fileInit() (subroutines.cc:2235 @ 80500d1) [2342]
                0.00    0.00       1/166         ContainerClass::fileInit() (subroutines.cc:2237 @ 8050114) [2344]
                0.00    0.00       1/166         ContainerClass::fileInit() (subroutines.cc:2239 @ 8050157) [2346]
                0.00    0.00       1/166         ScanClass::updateFile() (subroutines.cc:2703 @ 805213e) [2387]
                0.00    0.00       1/166         ScanClass::updateFile() (subroutines.cc:2705 @ 8052181) [2389]
                0.00    0.00       1/166         ScanClass::updateFile() (subroutines.cc:2707 @ 80521c4) [2391]
                0.00    0.00       1/166         ScanClass::updateFile() (subroutines.cc:2709 @ 8052207) [2393]
                0.00    0.00       1/166         SpaceClass::fileInit() (subroutines.cc:3274 @ 80540ff) [1836]
                0.00    0.00       1/166         SpaceClass::fileInit() (subroutines.cc:3276 @ 8054142) [1838]
                0.00    0.00       1/166         SpaceClass::fileInit() (subroutines.cc:3278 @ 8054185) [1840]
                0.00    0.00       1/166         SpaceClass::fileInit() (subroutines.cc:3281 @ 80541e8) [1843]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1045 @ 804beb2) [2152]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1047 @ 804bef5) [2154]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1050 @ 804bf58) [2157]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1051 @ 804bf7b) [2158]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1053 @ 804bfbe) [2160]
                0.00    0.00       2/166         VertexClass::fileInit(int) (subroutines.cc:1055 @ 804c001) [2162]
                0.00    0.00       2/166         ObjectClass::fileInit() (subroutines.cc:1206 @ 804ca7d) [2072]
                0.00    0.00       2/166         ObjectClass::fileInit() (subroutines.cc:1208 @ 804cacc) [2074]
                0.00    0.00       2/166         ObjectClass::fileInit() (subroutines.cc:1210 @ 804cb1b) [2076]
                0.00    0.00       2/166         ObjectClass::fileInit() (subroutines.cc:1212 @ 804cb6a) [2078]
                0.00    0.00       2/166         ObjectClass::fileInit() (subroutines.cc:1214 @ 804cbb9) [2080]
                0.00    0.00       2/166         ScanClass::updateFile() (subroutines.cc:2715 @ 8052274) [2396]
                0.00    0.00       2/166         ScanClass::updateFile() (subroutines.cc:2717 @ 80522c3) [2398]
                0.00    0.00       2/166         ScanClass::updateFile() (subroutines.cc:2719 @ 8052307) [2400]
                0.00    0.00       2/166         ScanClass::updateFile() (subroutines.cc:2721 @ 8052355) [2402]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1065 @ 804c05d) [2167]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1067 @ 804c0a1) [2169]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1069 @ 804c0ec) [2171]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1071 @ 804c136) [2173]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1074 @ 804c1a0) [2176]
                0.00    0.00       5/166         VertexClass::updateLog(int) (subroutines.cc:1075 @ 804c1ca) [2177]
                0.00    0.00       5/166         ContainerClass::updateFile(int) (subroutines.cc:2258 @ 80501cf) [2237]
                0.00    0.00       5/166         ContainerClass::updateFile(int) (subroutines.cc:2260 @ 8050213) [2239]
                0.00    0.00       5/166         ContainerClass::updateFile(int) (subroutines.cc:2262 @ 805025d) [2241]
                0.00    0.00       5/166         ContainerClass::updateFile(int) (subroutines.cc:2264 @ 80502a7) [2243]
                0.00    0.00       5/166         ContainerClass::updateFile(int) (subroutines.cc:2266 @ 80502f1) [2245]
                0.00    0.00       6/166         SpaceClass::updateFile(int) (subroutines.cc:3303 @ 805427b) [1693]
                0.00    0.00       6/166         SpaceClass::updateFile(int) (subroutines.cc:3305 @ 80542bf) [1695]
                0.00    0.00       6/166         SpaceClass::updateFile(int) (subroutines.cc:3307 @ 8054303) [1697]
                0.00    0.00      10/166         ObjectClass::updateObjectLog(int) (subroutines.cc:1812 @ 804ec69) [1923]
                0.00    0.00      10/166         ObjectClass::updateObjectLog(int) (subroutines.cc:1814 @ 804ecb9) [1925]
                0.00    0.00      10/166         ObjectClass::updateObjectLog(int) (subroutines.cc:1817 @ 804ed38) [1928]
                0.00    0.00      10/166         ObjectClass::updateObjectLog(int) (subroutines.cc:1818 @ 804ed65) [1929]
                0.00    0.00      10/166         ObjectClass::updateObjectLog(int) (subroutines.cc:1820 @ 804edbb) [1931]
[1143]   0.0    0.00    0.00     166         std::ios_base::width(int) (ios_base.h:573 @ 805a516) [1143]
-----------------------------------------------
                0.00    0.00     166/166         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:518 @ 805a722) [2521]
[1144]   0.0    0.00    0.00     166         std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) (ios_base.h:75 @ 805a850) [1144]
-----------------------------------------------
                0.00    0.00     166/166         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:518 @ 805a722) [2521]
[1145]   0.0    0.00    0.00     166         std::operator~(std::_Ios_Fmtflags) (ios_base.h:83 @ 805a87a) [1145]
-----------------------------------------------
                0.00    0.00     166/166         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:519 @ 805a73f) [2522]
[1146]   0.0    0.00    0.00     166         std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) (ios_base.h:71 @ 805a826) [1146]
-----------------------------------------------
                0.00    0.00     166/166         std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) (ios_base.h:71 @ 805a831) [2541]
[1147]   0.0    0.00    0.00     166         std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags) (ios_base.h:63 @ 805a88a) [1147]
-----------------------------------------------
                0.00    0.00       1/75          main (mesh_manip.cc:81 @ 8058bf3) [863]
                0.00    0.00       1/75          main (mesh_manip.cc:94 @ 8058cad) [872]
                0.00    0.00       1/75          main (mesh_manip.cc:114 @ 8058dea) [885]
                0.00    0.00       1/75          main (mesh_manip.cc:125 @ 8058e88) [892]
                0.00    0.00       1/75          main (mesh_manip.cc:133 @ 8058f21) [898]
                0.00    0.00       1/75          main (mesh_manip.cc:142 @ 8058fa3) [905]
                0.00    0.00       1/75          main (mesh_manip.cc:150 @ 805903c) [911]
                0.00    0.00       1/75          main (mesh_manip.cc:159 @ 80590be) [918]
                0.00    0.00       1/75          main (mesh_manip.cc:167 @ 8059134) [924]
                0.00    0.00       1/75          main (mesh_manip.cc:180 @ 80591f0) [934]
                0.00    0.00       1/75          main (mesh_manip.cc:191 @ 8059272) [941]
                0.00    0.00       1/75          main (mesh_manip.cc:207 @ 805933a) [952]
                0.00    0.00       1/75          main (mesh_manip.cc:215 @ 80593ba) [958]
                0.00    0.00       1/75          main (mesh_manip.cc:225 @ 805945a) [965]
                0.00    0.00       1/75          main (mesh_manip.cc:248 @ 805952a) [977]
                0.00    0.00       5/75          main (mesh_manip.cc:267 @ 8059640) [988]
                0.00    0.00       5/75          main (mesh_manip.cc:277 @ 8059726) [997]
                0.00    0.00       5/75          main (mesh_manip.cc:287 @ 805982a) [1006]
                0.00    0.00       5/75          main (mesh_manip.cc:297 @ 805992e) [1015]
                0.00    0.00       5/75          main (mesh_manip.cc:307 @ 8059a1e) [1024]
                0.00    0.00       5/75          main (mesh_manip.cc:317 @ 8059b22) [1033]
                0.00    0.00       5/75          main (mesh_manip.cc:327 @ 8059c12) [1042]
                0.00    0.00       5/75          main (mesh_manip.cc:337 @ 8059d0c) [1051]
                0.00    0.00       5/75          main (mesh_manip.cc:348 @ 8059e14) [1061]
                0.00    0.00       5/75          main (mesh_manip.cc:359 @ 8059f18) [1070]
                0.00    0.00       5/75          main (mesh_manip.cc:370 @ 8059ffe) [1079]
                0.00    0.00       5/75          main (mesh_manip.cc:383 @ 805a118) [1090]
[1148]   0.0    0.00    0.00      75         recordTime(std::basic_ofstream<char, std::char_traits<char> >&, long, char*) (subroutines.cc:167 @ 8049b7c) [1148]
-----------------------------------------------
                0.00    0.00      10/10          ContainerClass::updateObjectAndVertexLog(int) (subroutines.cc:2214 @ 804ff98) [2295]
[1149]   0.0    0.00    0.00      10         ObjectClass::updateObjectLog(int) (subroutines.cc:1810 @ 804ec5e) [1149]
-----------------------------------------------
                0.00    0.00      10/10          ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4598 @ 8058190) [696]
[1150]   0.0    0.00    0.00      10         ObjectClass::computeGlobalParams() (subroutines.cc:1844 @ 804ee82) [1150]
-----------------------------------------------
                0.00    0.00      10/10          ContainerClass::computeNewEdges() (subroutines.cc:2201 @ 804ff52) [2263]
[1151]   0.0    0.00    0.00      10         ObjectClass::computeNewEdgeLengths() (subroutines.cc:1736 @ 804e7e8) [1151]
-----------------------------------------------
                0.00    0.00      10/10          ContainerClass::computeObjectEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2332 @ 805054a) [2326]
[1152]   0.0    0.00    0.00      10         ObjectClass::computeEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2014 @ 804f768) [1152]
-----------------------------------------------
                0.00    0.00       1/9           copyControlFile() (subroutines.cc:131 @ 80499c4) [1264]
                0.00    0.00       1/9           ContainerClass::fileInit() (subroutines.cc:2229 @ 805001e) [2337]
                0.00    0.00       1/9           ScanClass::fileInit() (subroutines.cc:2678 @ 8051ffc) [2448]
                0.00    0.00       1/9           SpaceClass::fileInit() (subroutines.cc:3272 @ 80540d2) [1835]
                0.00    0.00       1/9           main (mesh_manip.cc:59 @ 8058b24) [853]
                0.00    0.00       2/9           VertexClass::fileInit(int) (subroutines.cc:1042 @ 804be1a) [2150]
                0.00    0.00       2/9           ObjectClass::fileInit() (subroutines.cc:1204 @ 804ca4d) [2071]
[1153]   0.0    0.00    0.00       9         std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) (ios_base.h:94 @ 805a506) [1153]
-----------------------------------------------
                0.00    0.00       1/6           main (mesh_manip.cc:222 @ 805940e) [962]
                0.00    0.00       5/6           main (mesh_manip.cc:355 @ 8059e9f) [1066]
[1154]   0.0    0.00    0.00       6         ManipClass::assignPolygonsToBoxes(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4029 @ 805652e) [1154]
-----------------------------------------------
                0.00    0.00       1/6           main (mesh_manip.cc:204 @ 80592f8) [949]
                0.00    0.00       5/6           main (mesh_manip.cc:263 @ 80595d1) [984]
[1155]   0.0    0.00    0.00       6         ManipClass::computePolygonNormals(ContainerClass&, PolygonClass*) (subroutines.cc:3342 @ 80544c8) [1155]
-----------------------------------------------
                0.00    0.00       1/6           main (mesh_manip.cc:176 @ 80591b8) [930]
                0.00    0.00       5/6           main (mesh_manip.cc:343 @ 8059d97) [1056]
[1156]   0.0    0.00    0.00       6         SpaceClass::boundWorld(ContainerClass&, int) (subroutines.cc:2809 @ 8052a48) [1156]
-----------------------------------------------
                0.00    0.00       1/6           main (mesh_manip.cc:241 @ 80594bc) [970]
                0.00    0.00       5/6           main (mesh_manip.cc:377 @ 805a089) [1084]
[1157]   0.0    0.00    0.00       6         SpaceClass::updateFile(int) (subroutines.cc:3298 @ 8054236) [1157]
-----------------------------------------------
                0.00    0.00       1/6           main (mesh_manip.cc:178 @ 80591d0) [932]
                0.00    0.00       5/6           main (mesh_manip.cc:344 @ 8059db9) [1057]
[1158]   0.0    0.00    0.00       6         SpaceClass::init() (subroutines.cc:2730 @ 80523c0) [1158]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:293 @ 80598b5) [1011]
[1159]   0.0    0.00    0.00       5         ManipClass::setDeviationDistance(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4111 @ 80567ce) [1159]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:333 @ 8059c9d) [1047]
[1160]   0.0    0.00    0.00       5         ManipClass::computeNewVertexCoords(ContainerClass&, double) (subroutines.cc:4612 @ 8058230) [1160]
-----------------------------------------------
                0.00    0.00       5/5           ManipClass::computePolygonIntersectionForce(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4643 @ 805830e) [1576]
[1161]   0.0    0.00    0.00       5         ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4692 @ 805863e) [1161]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:323 @ 8059bad) [1038]
[1162]   0.0    0.00    0.00       5         ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4495 @ 8057a70) [1162]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:313 @ 8059aa9) [1029]
[1163]   0.0    0.00    0.00       5         ManipClass::computePolygonIntersectionForce(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4637 @ 8058302) [1163]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:283 @ 80597b1) [1002]
[1164]   0.0    0.00    0.00       5         ManipClass::findNice(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:3381 @ 8054658) [1164]
-----------------------------------------------
                0.00    0.00       5/5           ContainerClass::updateObjectAndVertexLog(int) (subroutines.cc:2213 @ 804ffe0) [2298]
[1165]   0.0    0.00    0.00       5         ObjectClass::updateVertexLog(int) (subroutines.cc:1827 @ 804ee24) [1165]
-----------------------------------------------
                0.00    0.00       5/5           ObjectClass::updateVertexLog(int) (subroutines.cc:1835 @ 804ee58) [1936]
[1166]   0.0    0.00    0.00       5         VertexClass::updateLog(int) (subroutines.cc:1063 @ 804c052) [1166]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:378 @ 805a09f) [1085]
[1167]   0.0    0.00    0.00       5         ContainerClass::updateFile(int) (subroutines.cc:2256 @ 80501c4) [1167]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:273 @ 80596cb) [993]
[1168]   0.0    0.00    0.00       5         ContainerClass::computeNewEdges() (subroutines.cc:2195 @ 804ff30) [1168]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:366 @ 8059fa3) [1075]
[1169]   0.0    0.00    0.00       5         ContainerClass::computeGlobalParams() (subroutines.cc:2274 @ 805034e) [1169]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:379 @ 805a0b5) [1086]
[1170]   0.0    0.00    0.00       5         ContainerClass::updateObjectAndVertexLog(int) (subroutines.cc:2209 @ 804ff76) [1170]
-----------------------------------------------
                0.00    0.00       5/5           main (mesh_manip.cc:303 @ 80599b9) [1020]
[1171]   0.0    0.00    0.00       5         ContainerClass::computeObjectEdgeAngleForceEnergy(PolygonClass*) (subroutines.cc:2326 @ 8050528) [1171]
-----------------------------------------------
                0.00    0.00       4/4           ScanClass::scanFiles(ContainerClass&, PolygonClass*, bool) (subroutines.cc:2477 @ 8050c4c) [2513]
[1172]   0.0    0.00    0.00       4         ScanClass::scanFile(ContainerClass&, PolygonClass*, char*, bool, int) (subroutines.cc:2489 @ 8050cee) [1172]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjectEdges(PolygonClass*, int, int*) (subroutines.cc:2304 @ 80504a4) [2268]
[1173]   0.0    0.00    0.00       2         ObjectClass::buildEdges(PolygonClass*, int, int*) (subroutines.cc:1888 @ 804f0dc) [1173]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjects(int*, int*) (subroutines.cc:2081 @ 804fcd0) [2254]
[1174]   0.0    0.00    0.00       2         ObjectClass::makeObject(int, int) (subroutines.cc:1262 @ 804ccfe) [1174]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjectAndVertexLogFiles() (subroutines.cc:2098 @ 804fd78) [2302]
[1175]   0.0    0.00    0.00       2         ObjectClass::InitVertices() (subroutines.cc:1230 @ 804cc36) [1175]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::OutitObjectAndVertexLogFiles() (subroutines.cc:2114 @ 804fde1) [2308]
[1176]   0.0    0.00    0.00       2         ObjectClass::OutitVertices() (subroutines.cc:1248 @ 804ccb8) [1176]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjectEdgeAngles(PolygonClass*) (subroutines.cc:2318 @ 80504fe) [2291]
[1177]   0.0    0.00    0.00       2         ObjectClass::initEdgeAngles(PolygonClass*) (subroutines.cc:2000 @ 804f702) [1177]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::computeEdges() (subroutines.cc:2187 @ 804ff0c) [2259]
[1178]   0.0    0.00    0.00       2         ObjectClass::computeEdgeLengths() (subroutines.cc:1656 @ 804e342) [1178]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initFindNeighbor() (subroutines.cc:2172 @ 804fee0) [2273]
[1179]   0.0    0.00    0.00       2         ObjectClass::findNeighborhoodVertices() (subroutines.cc:1449 @ 804d9ae) [1179]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initFindAdj(PolygonClass*, int, int*) (subroutines.cc:2159 @ 804fe6c) [2249]
[1180]   0.0    0.00    0.00       2         ObjectClass::findAdjacentPolygonsAndVertices(PolygonClass*, int, int*) (subroutines.cc:1333 @ 804d13c) [1180]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initCoordsAndDist() (subroutines.cc:2128 @ 804fe40) [2277]
[1181]   0.0    0.00    0.00       2         ObjectClass::initializeNewCoordinatesAndDevDist() (subroutines.cc:1298 @ 804cf5a) [1181]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjectAndVertexLogFiles() (subroutines.cc:2098 @ 804fd78) [2302]
[1182]   0.0    0.00    0.00       2         ObjectClass::fileInit() (subroutines.cc:1200 @ 804ca0c) [1182]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::OutitObjectAndVertexLogFiles() (subroutines.cc:2113 @ 804fdd8) [2307]
[1183]   0.0    0.00    0.00       2         ObjectClass::fileOutit() (subroutines.cc:1221 @ 804cc1a) [1183]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::initObjectEdges(PolygonClass*, int, int*) (subroutines.cc:2303 @ 805048a) [2267]
[1184]   0.0    0.00    0.00       2         ObjectClass::initEdges() (subroutines.cc:1872 @ 804f052) [1184]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::init() (subroutines.cc:2058 @ 804fb69) [2330]
[1185]   0.0    0.00    0.00       2         ObjectClass::ObjectClass() (subroutines.cc:2058 @ 805a5c2) [1185]
-----------------------------------------------
                0.00    0.00       2/2           ContainerClass::~ContainerClass() (subroutines.cc:2391 @ 80507e6) [2351]
[1186]   0.0    0.00    0.00       2         ObjectClass::~ObjectClass() (subroutines.cc:2043 @ 804fa5a) [1186]
-----------------------------------------------
                0.00    0.00       2/2           ObjectClass::InitVertices() (subroutines.cc:1239 @ 804cc88) [1913]
[1187]   0.0    0.00    0.00       2         VertexClass::fileInit(int) (subroutines.cc:1038 @ 804bdd2) [1187]
-----------------------------------------------
                0.00    0.00       1/2           main (mesh_manip.cc:78 @ 8058ba9) [860]
                0.00    0.00       1/2           main (mesh_manip.cc:123 @ 8058e68) [890]
[1188]   0.0    0.00    0.00       2         ScanClass::scanFiles(ContainerClass&, PolygonClass*, bool) (subroutines.cc:2443 @ 8050a64) [1188]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [2542]
[1189]   0.0    0.00    0.00       1         global constructors keyed to optimize_define_info (iostream:63 @ 805a4e4) [1189]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) (basic_string.h:217 @ 805a486) [1191]
-----------------------------------------------
                0.00    0.00       1/1           main (mesh_manip.cc:434 @ 805a2ed) [1117]
[1190]   0.0    0.00    0.00       1         copyControlFile() (subroutines.cc:117 @ 8049916) [1190]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to optimize_define_info (iostream:63 @ 805a4e4) [1189]
[1191]   0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) (basic_string.h:217 @ 805a486) [1191]
-----------------------------------------------
                0.00    0.00       1/1           main (mesh_manip.cc:187 @ 8059244) [938]
[1192]   0.0    0.00    0.00       1         ManipClass::ManipClass() (mesh_manip.cc:187 @ 805a6be) [1192]
-----------------------------------------------
                0.00    0.00       1/1           main (mesh_manip.cc:439 @ 805a312) [642]
